,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1112,-86.29,210016,210016,0.0,113184,113184,0.0
sdp,1,fast,8112,1112,-86.29,116224,116224,0.0,56720,56720,0.0
sdp,1,small,8112,1112,-86.29,421392,421392,0.0,223832,223832,0.0
sdp,3,balance,16832,1256,-92.54,463484,463376,-0.02,248804,248804,0.0
sdp,3,fast,16832,1256,-92.54,257976,257976,0.0,124648,124648,0.0
sdp,3,small,0,0,,0,0,,0,0,
sdp,5,balance,0,0,,0,0,,0,0,
sdp,5,fast,29624,1400,-95.27,463008,463008,0.0,222424,222436,0.01
sdp,5,small,0,0,,0,0,,0,0,
sdpg,1,balance,3984,1184,-70.28,156712,156712,0.0,94372,94372,0.0
sdpg,1,fast,3984,1184,-70.28,77768,77768,0.0,42168,42168,0.0
sdpg,1,small,3984,1184,-70.28,309608,309608,0.0,184632,184632,0.0
sdpg,3,balance,7440,1296,-82.58,240896,240896,0.0,145060,145156,0.07
sdpg,3,fast,7440,1296,-82.58,170424,170424,0.0,91312,91312,0.0
sdpg,3,small,7440,1296,-82.58,453168,453168,0.0,270912,270912,0.0
sdpg,5,balance,11776,1440,-87.77,423232,423232,0.0,255760,255760,0.0
sdpg,5,fast,11776,1440,-87.77,300704,300704,0.0,159872,159872,0.0
sdpg,5,small,0,0,,0,0,,0,0,
,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1296,-84.02,210016,210016,0.0,113184,113184,0.0
sdp,1,fast,8112,1296,-84.02,116224,116224,0.0,56720,56720,0.0
sdp,1,small,8112,1296,-84.02,421392,421392,0.0,223832,223832,0.0
sdp,3,balance,16832,1400,-91.68,463484,463376,-0.02,248804,248804,0.0
sdp,3,fast,16832,1400,-91.68,257976,257976,0.0,124648,124648,0.0
sdp,3,small,0,0,,0,0,,0,0,
sdp,5,balance,0,0,,0,0,,0,0,
sdp,5,fast,29624,1544,-94.79,463008,463008,0.0,222424,222424,0.0
sdp,5,small,0,0,,0,0,,0,0,
sdpg,1,balance,3984,1400,-64.86,156712,156712,0.0,94372,94372,0.0
sdpg,1,fast,3984,1400,-64.86,77768,77768,0.0,42168,42168,0.0
sdpg,1,small,3984,1400,-64.86,309608,309608,0.0,184632,184632,0.0
sdpg,3,balance,7440,1480,-80.11,240896,240896,0.0,145092,145156,0.04
sdpg,3,fast,7440,1480,-80.11,170424,170424,0.0,91312,91312,0.0
sdpg,3,small,7440,1480,-80.11,453168,453168,0.0,270912,270912,0.0
sdpg,5,balance,11776,1624,-86.21,423232,423232,0.0,255760,255760,0.0
sdpg,5,fast,11776,1624,-86.21,300704,300704,0.0,159872,159872,0.0
sdpg,5,small,0,0,,0,0,,0,0,
,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1296,-84.02,210016,202296,-3.68,113184,105224,-7.03
sdp,1,fast,8112,1296,-84.02,116224,111624,-3.96,56720,51928,-8.45
sdp,1,small,8112,1296,-84.02,421392,405232,-3.83,223832,207540,-7.28
